model,dataStr,costFunction,MSE,MAE,GME,CWE,BMSE,MAPE,MSE_val,MAE_val,GME_val,CWE_val,BMSE_val,MAPE_val,MSE_test,MAE_test,GME_test,CWE_test,BMSE_test,MAPE_test
LinearRegression,synthetic_r=1.2,SERA,0.010481,0.085388,0.070612,0.072443,6.680673,0.071607,0.010562,0.084334,0.068753,0.070803,5.152524,0.069046,0.010536,0.08797,0.072032,0.074092,5.124083,0.073561
LinearRegression,synthetic_r=1.3,SERA,0.00983,0.082974,0.073308,0.074136,6.668611,0.078883,0.011811,0.092197,0.073782,0.076384,5.164822,0.076801,0.009449,0.082211,0.074703,0.075213,5.11256,0.076336
LinearRegression,synthetic_r=1.4,SERA,0.009984,0.082949,0.075888,0.076337,6.677141,0.083261,0.01049,0.087369,0.078352,0.079041,5.127914,0.083255,0.008437,0.076092,0.058659,0.061449,5.104056,0.07414
LinearRegression,synthetic_r=1.5,SERA,0.009333,0.079429,0.072115,0.072616,6.672623,0.079071,0.010232,0.084984,0.087546,0.087608,5.127914,0.096729,0.007429,0.070843,0.059395,0.060726,5.089701,0.074825
LinearRegression,synthetic_r=1.6,SERA,0.009768,0.08054,0.080172,0.080173,6.685494,0.092042,0.009378,0.082044,0.083766,0.083794,5.10939,0.105695,0.008112,0.074634,0.0729,0.072931,5.103076,0.095209
LinearRegression,synthetic_r=1.7,SERA,0.008367,0.07429,0.074998,0.075003,6.655376,0.094556,0.008446,0.076749,0.083702,0.084221,5.100116,0.104732,0.007223,0.070187,0.075767,0.076131,5.083323,0.099294
LinearRegression,synthetic_r=1,KRR,0.002183,0.037371,0.037158,0.037159,6.561242,0.027533,0.002362,0.039595,0.038901,0.038911,5.019463,0.030377,0.002172,0.037008,0.033379,0.033643,5.021691,0.027916
LinearRegression,synthetic_r=1.1,KRR,0.00221,0.037222,0.037047,0.037048,6.561792,0.030341,0.00213,0.036898,0.036248,0.036257,5.019816,0.031885,0.003,0.043168,0.044597,0.044635,5.030116,0.03524
LinearRegression,synthetic_r=1.2,KRR,0.002253,0.037759,0.036533,0.036564,6.562092,0.034602,0.002389,0.040025,0.035698,0.036043,5.020436,0.033343,0.002265,0.038423,0.038583,0.038583,5.022633,0.033878
LinearRegression,synthetic_r=1.3,KRR,0.00243,0.039229,0.038792,0.038795,6.563911,0.041167,0.002486,0.039341,0.037667,0.037721,5.024958,0.039356,0.002198,0.037414,0.036879,0.036885,5.021082,0.037223
LinearRegression,synthetic_r=1.4,KRR,0.002224,0.037659,0.037077,0.037084,6.561697,0.042038,0.002596,0.040659,0.041173,0.041178,5.025884,0.047453,0.002484,0.039711,0.040193,0.040198,5.023895,0.046043
LinearRegression,synthetic_r=1.5,KRR,0.002277,0.038557,0.037307,0.037338,6.56157,0.047946,0.002353,0.03943,0.040527,0.040551,5.020667,0.053618,0.002323,0.038187,0.040094,0.040171,5.021866,0.049817
LinearRegression,synthetic_r=1.6,KRR,0.002589,0.039902,0.041995,0.042083,6.567444,0.055935,0.002233,0.038271,0.040365,0.040458,5.019646,0.058271,0.002256,0.037551,0.042273,0.042774,5.022728,0.056236
LinearRegression,synthetic_r=1.7,KRR,0.002383,0.03885,0.038967,0.038967,6.563115,0.058732,0.002186,0.038082,0.043036,0.043581,5.019403,0.061762,0.00207,0.035582,0.034207,0.034248,5.020314,0.051062
LinearRegression,cali,MSE,4845652819,50782.40137,72532.4551,82902.43722,NaN,0.224515,4743108035,50127.02454,72819.04714,84617.80135,NaN,0.221803,4874346524,50483.89776,72034.29915,82314.33056,NaN,0.221662
LinearRegression,cali,MAE,4972418510,49246.51794,72421.90866,85293.97861,Inf,0.231145,4766073768,48019.40766,71791.63874,86197.35992,NaN,0.226497,4990858814,48718.20745,71552.40578,84230.1644,NaN,0.226679
LinearRegression,cali,GME,6134411505,54966.35411,69123.377,72523.26251,NaN,0.22591,5670950828,54253.8283,69043.5417,72848.5806,NaN,0.225866,6146594463,54316.41994,69380.09728,73358.36092,NaN,0.22339
LinearRegression,cali,CWE,9354658349,66217.90323,69842.2087,70002.20136,NaN,0.256832,8508898634,65482.84759,68657.60923,68781.21084,Inf,0.256401,9330972687,65417.08436,71363.05376,71810.11148,NaN,0.257132
LinearRegression,cali,BMSE,5040711700,55387.88853,74547.37295,81258.75304,Inf,0.228821,4935020893,54836.34303,74979.77686,82636.04232,NaN,0.22703,5028350044,55041.52988,74066.01603,80753.33461,NaN,0.226517
LinearRegression,cali,RR,4745282603,50307.78413,71725.79434,81843.13976,Inf,0.22193,4561560244,49314.06193,71579.02042,83105.93292,NaN,0.218892,4739311884,49944.66889,71197.98323,81286.93404,NaN,0.218918
LinearRegression,cali,SERA,8678764445,77570.6194,75888.66695,75916.81544,NaN,0.26646,8519324633,77356.21834,75731.53191,75757.86489,NaN,0.269181,8614537229,77428.81161,75742.26925,75770.68744,NaN,0.265811
LinearRegression,cali,KRR,3389117575,41128.46911,56405.82165,62310.58283,NaN,0.180859,3638102716,41469.05529,57661.53126,64374.87408,Inf,0.181935,3491387127,41157.90578,56916.28703,63306.57236,NaN,0.179759
LinearRegression,synthetic_r=1,PLOSS,0.007534,0.072034,0.071205,0.071213,6.628275,0.052932,0.009469,0.082938,0.085134,0.08518,5.114655,0.058626,0.010664,0.08551,0.083841,0.083866,5.158835,0.058607
LinearRegression,synthetic_r=1.1,PLOSS,0.008237,0.075634,0.076323,0.076328,6.641139,0.059863,0.008686,0.078555,0.070044,0.070724,5.101209,0.063453,0.011543,0.090319,0.089672,0.089676,5.170242,0.071842
LinearRegression,synthetic_r=1.2,PLOSS,0.00826,0.075945,0.080082,0.080264,6.638018,0.069685,0.008443,0.077995,0.076729,0.076745,5.097817,0.071351,0.008472,0.07868,0.082871,0.083051,5.092363,0.071532
LinearRegression,synthetic_r=1.3,PLOSS,0.008108,0.07422,0.08052,0.08096,6.641323,0.080664,0.009015,0.08069,0.081868,0.081882,5.111693,0.076171,0.007772,0.075982,0.087948,0.089574,5.080315,0.082739
LinearRegression,synthetic_r=1.4,PLOSS,0.008193,0.074371,0.082659,0.083431,6.643536,0.088763,0.00831,0.076813,0.084945,0.085662,5.099514,0.087891,0.006582,0.066422,0.053864,0.055551,5.07606,0.069863
LinearRegression,synthetic_r=1.5,PLOSS,0.006936,0.067204,0.075789,0.076715,6.628389,0.089771,0.007851,0.070935,0.086214,0.089179,5.114714,0.102261,0.006207,0.062893,0.066699,0.066886,5.080882,0.085974
LinearRegression,synthetic_r=1.6,PLOSS,0.007474,0.068574,0.082768,0.085398,6.645207,0.10352,0.006686,0.066064,0.075716,0.076923,5.090375,0.101756,0.005669,0.059634,0.063689,0.063913,5.068277,0.089718
LinearRegression,synthetic_r=1.7,PLOSS,0.006271,0.062095,0.076346,0.079326,6.626579,0.103964,0.006217,0.06042,0.074737,0.077847,5.10175,0.100665,0.006224,0.061105,0.07965,0.085118,5.094916,0.111186
LinearRegression,cali,PLOSS,4929963459,52489.92992,72076.51588,79695.54911,NaN,0.222274,4826993458,52041.22974,72712.90733,81499.99498,NaN,0.221088,4961338425,52190.98572,71753.48415,79449.14205,NaN,0.219483
