model,dataStr,costFunction,MSE,MAE,GME,CWE,BMSE,MAPE,MSE_val,MAE_val,GME_val,CWE_val,BMSE_val,MAPE_val,MSE_test,MAE_test,GME_test,CWE_test,BMSE_test,MAPE_test,date
LinearRegression,synthetic_r=1.4,BMSE,0.008424,0.076262,0.081202,0.081462,6.641629,0.090315,0.008598,0.077954,0.082776,0.083017,5.104092,0.089424,0.007255,0.070102,0.053514,0.056246,5.084568,0.073261,07 22:56:28
LinearRegression,synthetic_r=1.5,BMSE,0.007359,0.070806,0.074140,0.074266,6.624642,0.091556,0.008429,0.075024,0.087170,0.088871,5.114356,0.106331,0.006738,0.065869,0.061618,0.061825,5.084619,0.085347,07 22:58:08
LinearRegression,synthetic_r=1.6,BMSE,0.007861,0.071724,0.081498,0.082631,6.642889,0.104660,0.007440,0.070845,0.077135,0.077596,5.093484,0.107705,0.006490,0.064348,0.065930,0.065961,5.079494,0.095086,07 23:00:21
LinearRegression,synthetic_r=1.7,BMSE,0.006682,0.065389,0.075682,0.077080,6.623206,0.104715,0.006627,0.065101,0.077029,0.078951,5.092306,0.104915,0.006388,0.064020,0.078893,0.082048,5.080505,0.108972,07 23:03:02
LinearRegression,synthetic_r=1,RR,0.007518,0.071973,0.071389,0.071392,6.628039,0.053256,0.009457,0.082882,0.087463,0.087667,5.114558,0.059016,0.010682,0.085836,0.084281,0.084303,5.158984,0.059327,07 23:03:11
LinearRegression,synthetic_r=1.1,RR,0.008187,0.075434,0.079736,0.079934,6.639937,0.061412,0.008571,0.078047,0.073894,0.074061,5.100024,0.064705,0.011339,0.089453,0.092863,0.092967,5.166348,0.072755,07 23:03:19
LinearRegression,synthetic_r=1.2,RR,0.008183,0.075439,0.083938,0.084739,6.638425,0.072279,0.008377,0.077940,0.081409,0.081532,5.095058,0.074684,0.008346,0.077374,0.087151,0.088194,5.094576,0.073412,07 23:03:27
LinearRegression,synthetic_r=1.3,RR,0.008028,0.072864,0.083190,0.084438,6.645968,0.082444,0.008635,0.078352,0.084101,0.084445,5.106543,0.076926,0.007724,0.075307,0.091639,0.094833,5.083738,0.085976,07 23:03:33
LinearRegression,synthetic_r=1.4,RR,0.008102,0.073225,0.085574,0.087385,6.648482,0.091754,0.008097,0.075303,0.087580,0.089314,5.100657,0.090866,0.006328,0.064930,0.057372,0.058019,5.074847,0.071188,07 23:03:40
LinearRegression,synthetic_r=1.5,RR,0.006850,0.065807,0.078279,0.080367,6.635129,0.093021,0.007738,0.068585,0.086802,0.091346,5.125248,0.103541,0.006314,0.062544,0.071739,0.072896,5.090177,0.090703,07 23:03:46
LinearRegression,synthetic_r=1.6,RR,0.007382,0.067104,0.084679,0.088989,6.652418,0.106997,0.006364,0.062843,0.074803,0.076815,5.095688,0.100361,0.005354,0.057463,0.063695,0.064259,5.066771,0.089650,07 23:03:52
LinearRegression,synthetic_r=1.7,RR,0.006191,0.060606,0.077760,0.082389,6.633778,0.106830,0.006052,0.058034,0.074512,0.078977,5.111145,0.101907,0.006332,0.059421,0.080529,0.088198,5.111847,0.113494,07 23:03:56
LinearRegression,synthetic_r=1,PLOSS,0.007523,0.071986,0.071480,0.071482,6.628194,0.053511,0.009463,0.082878,0.088792,0.089135,5.114788,0.059294,0.010703,0.086055,0.084495,0.084517,5.159194,0.059815,07 23:21:27
LinearRegression,synthetic_r=1.1,PLOSS,0.008230,0.075507,0.083311,0.083982,6.641186,0.063244,0.008525,0.077947,0.078449,0.078452,5.099870,0.066323,0.011207,0.088701,0.096066,0.096568,5.164404,0.073822,07 23:21:32
LinearRegression,synthetic_r=1.2,PLOSS,0.008321,0.075306,0.089776,0.092237,6.646416,0.076398,0.008529,0.078433,0.088763,0.089916,5.098577,0.080011,0.008410,0.076194,0.093385,0.096908,5.105754,0.076608,07 23:21:37
LinearRegression,synthetic_r=1.3,PLOSS,0.008286,0.071905,0.090033,0.094276,6.668981,0.087804,0.008428,0.075927,0.091238,0.093991,5.111253,0.081278,0.008111,0.074980,0.098709,0.106095,5.106681,0.092933,07 23:21:44
LinearRegression,synthetic_r=1.4,PLOSS,0.008525,0.072341,0.092979,0.098605,6.682107,0.100676,0.008194,0.072964,0.093232,0.098575,5.120967,0.098278,0.006312,0.063374,0.067570,0.067796,5.084643,0.077793,07 23:21:51
LinearRegression,synthetic_r=1.5,PLOSS,0.007407,0.064606,0.086432,0.093840,6.679437,0.104778,0.008059,0.065925,0.089999,0.099087,5.170171,0.111430,0.007395,0.064021,0.087350,0.096130,5.142315,0.109209,07 23:21:57
LinearRegression,synthetic_r=1.6,PLOSS,0.008141,0.065412,0.091778,0.103246,6.711551,0.121170,0.006351,0.057890,0.076583,0.082556,5.133040,0.105584,0.005396,0.054736,0.070265,0.074469,5.088723,0.099039,07 23:22:05
LinearRegression,synthetic_r=1.7,PLOSS,0.006937,0.058693,0.083700,0.095529,6.692044,0.120244,0.006634,0.055480,0.078043,0.087989,5.164747,0.115851,0.007808,0.058017,0.086501,0.103540,5.207354,0.129264,07 23:22:15
